"Source:","D:\Projekty\FAMO\some_wave_v2\some_wave_v2.sch"
"Date:","19.09.2022 13:37:35"
"Tool:","Eeschema (5.1.12)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","143"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comm"
"","","JP1","igły 2x1x2,54","Jumper:Jumper_2_Open","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~",""
"","","JP2","igły 2x1x2,54","Jumper:Jumper_2_Open","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~",""
"","","JP3","igły 2x1x2,54","Jumper:Jumper_2_Open","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~",""
"","","JP4","igły 2x1x2,54","Jumper:Jumper_2_Open","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~",""
"","","JP5","Jumper_NO_Small","Device:Jumper_NO_Small","Connectors:GS2","~",""
"","","JP6","Jumper_NO_Small","Device:Jumper_NO_Small","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~",""
"","","JP7","Jumper_NO_Small","Device:Jumper_NO_Small","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~",""
"","","JP8","Jumper_NO_Small","Device:Jumper_NO_Small","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~",""
"","","JP9","Jumper_NO_Small","Device:Jumper_NO_Small","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~",""
"","","JP10","Jumper_NO_Small","Device:Jumper_NO_Small","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~",""
"","","JP11","Jumper_NO_Small","Device:Jumper_NO_Small","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~",""
"","","JP12","SolderJumper_3_Open","Jumper:SolderJumper_3_Open","Connectors:GS3","~",""
"","","L1","BLM18KG331SN1D","Device:L_Core_Ferrite","Inductors_SMD:L_0603","~","Murata"
"","","L2","LQM21PN4R7MGRD","Device:L_Core_Ferrite","Inductors_SMD:L_0805","~","Murata"
"","","L3","BLM18KG331SN1D","Device:L_Core_Ferrite","Inductors_SMD:L_0603","~","Murata"
"","","L4","BLM18KG331SN1D","Device:L_Core_Ferrite","Inductors_SMD:L_0603","~","Murata"
"","","L5","SLF7045T-3R3M2R5-PF","Device:L","Inductors_SMD:L_7.3x7.3_H4.5","~","3,3uH 2,5A 7x7mm"
"","","L6","BLM18KG331SN1D","Device:L_Core_Ferrite","Inductors_SMD:L_0603","~","Murata"
"","","M1","NUCLEO-H743ZI2_s0me_wave","ff:NUCLEO-H743ZI2_s0me_wave","ff_lib:MODULE_NUCLEO_some_wave","STMicroelectronics",""
"","","M15V1","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_THTPad_d2.0mm_Drill1.0mm","~",""
"","","OUT1","B6252H5-NPP3G-50","Connector:Conn_Coaxial","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal"," ~",""
"","","OUT2","B6252H5-NPP3G-50","Connector:Conn_Coaxial","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal"," ~",""
"","","P15V1","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_THTPad_d2.0mm_Drill1.0mm","~",""
"","","R1","10k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R2","10k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R3","10k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R4","10k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R5","10k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R6","10k 1%","Device:R","Resistors_SMD:R_0603","~",""
